,historical_sold,image,itemid,liked_count,name,price,price_max,price_min,shop_location,shopid,sold,stock,view_count
5457,0,https://cf.shopee.vn/file/dcfcfff2ac4d8308a1a925d2ad9787d7,15213701720,0,SET QUÀ TẾT/HỘP QUÀ TẾT 2022 🐯 (SET TÂN XUÂN VẠN LỘC),522500,522500,522500,Sơn La,13258240,0,1000,77
5458,0,https://cf.shopee.vn/file/84f947b673c8a3c088ded0a1d2951965,15224912323,0,"Hộp quà Tết Sum Họp đẹp 5 sản phẩm: Pepsi 1,5L, Bánh Coffee Joy 90g, Kẹo Alpenliebe 119g, Cà phê G7 30g, Đậu phộng 135g",112000,112000,112000,Hà Nội,73865305,0,20,0
5459,0,https://cf.shopee.vn/file/2df18f543faa00ab1ba80e10ee3085ea,15211838166,0,HỘP QUÀ TẾT 780 - AN BẰNG,900000,900000,900000,TP. Hồ Chí Minh,317570884,0,50,6
5460,0,https://cf.shopee.vn/file/52f17b6a217d9ab402a8ece7112a284e,15113787194,0,HỘP QUÀ TẾT TẶNG BÁNH CHOCOPIE ORION 504G,80000,80000,80000,Hà Nội,394848931,0,49,16
5461,0,https://cf.shopee.vn/file/b6f7e7b5d16600491a7508be8d0210bb,15125247688,1,Hộp quà tết Nhà mứt,340000,340000,340000,Long An,161729981,0,15,15
5462,0,https://cf.shopee.vn/file/a7b7776e7643fd8ae18a15d0b9dfa9e7,15127059384,0,hộp quà tết (vỏ),30000,30000,30000,Ninh Bình,37904862,0,5000,105
5463,0,https://cf.shopee.vn/file/07c8bb100b2272a5737f5af2d9201c50,15113670846,0,Hộp Quà Tết An Orion 2 - B2B,229000,229000,229000,Hà Nội,283255666,0,11000,13
5464,0,https://cf.shopee.vn/file/668ec71bbe02adc916d477c8f2eb3ed9,15111362375,1,"Hộp Thanh mai tết, siêu phẩm quà tết",175000,175000,175000,TP. Hồ Chí Minh,287385544,0,259,12
5465,0,https://cf.shopee.vn/file/59a3e1af317cba29c78a4f085929cf52,15123934394,0,[Quà Tết 2022] 1kg Chuối lát đà lạt sấy giòn - Đặc Sản Đà Lạt - đồ ăn vặt -tết-tét 2022 Têt Tết,30000,99000,30000,TP. Hồ Chí Minh,285081079,0,600,3
5466,0,https://cf.shopee.vn/file/960e375469796a7bea1c8d777464b214,15122251045,1,[Quà Tết 2022] 100gr Bánh Đậu Nành Mè Tuấn Đạt Thơm Ngon-đồ ăn vặt-ăn vặt-tết-bánh kẹo tết mới,20000,20000,20000,TP. Hồ Chí Minh,162970505,0,2000,7
5467,0,https://cf.shopee.vn/file/8b3b357bdbb924d5b352b20a33749816,15116122314,2,Hộp quà Tết thượng hạng kèm túi giấy sang trọng,395000,395000,395000,Hà Nội,81799635,0,50,153
5468,0,https://cf.shopee.vn/file/9d18867a6a9149dd5d2b38323fdc4c7e,15127054411,1,Hộp Quà Tết 2022 đẹp,245000,245000,245000,TP. Hồ Chí Minh,101566367,0,50,2
5469,0,https://cf.shopee.vn/file/ae66aade5bfc2751efca71403034f580,15127405571,0,[Quà Tết 2022] Dưa món sấy khô Túi 160g-tết-đồ ăn vặt-hoa quả sấy khô,42000,42000,42000,TP. Hồ Chí Minh,82799068,0,5000,0
5470,0,https://cf.shopee.vn/file/fa7886dd42eb827d791f8039d93057d1,15116420936,1,[Quà Tết 2022] Combo 3 Xấp 400g Bánh Tráng Dẻo Gừng Sữa Anh Tú Chữ Xanh-đồ ăn vặt-tết-tết 2022-Đặc Sản Tây Nin,99000,99000,99000,TP. Hồ Chí Minh,70031451,0,10000,10
5471,0,https://cf.shopee.vn/file/eda55f8e37b6ae7a1f69280291ff5e6d,15113941369,0,Quà Tết Đặc Biệt - Kẹo caramel Bông Huệ Ngon Ngất Ngây,280000,280000,280000,Hà Nội,233704492,0,100,15
5472,0,https://cf.shopee.vn/file/6bc624a8fddc945fdbc38817d1057ae8,15114705936,0,[Quà Tết 2022] 1 Kg Kẹo Chuối Tươi Cuộn Đậu Gừng Thơm Ngon- Đặc Sản Bến Tre-Tết-Bánh Mứt Tết-Đồ Ăn Vặt,40000,139000,40000,TP. Hồ Chí Minh,70031451,0,30000,12
5473,0,https://cf.shopee.vn/file/c552a5230ab3a3dbc9bd28f414e87723,15210414325,0,Quà tặng Tết sang chảnh : Combo 2 đồng xu hình Cọp từ Úc vàng bạc - đi cùng túi gấm đỏ - Quà Tết 2022,59000,59000,59000,TP. Hồ Chí Minh,272403134,0,999,0
5474,0,https://cf.shopee.vn/file/5e52ff853faadb89fb44b4caeb7da13e,15122907776,0,[Tết 2022]Bánh quy Lambert Composition 1KG - bánh kẹo tết - bánh hộp thiếc - quà tết Tết tết,379000,379000,379000,TP. Hồ Chí Minh,162970505,0,100,13
5475,0,https://cf.shopee.vn/file/99ca930569d4eb2d304bcd387501f058,15112312904,6,"⭐ FREE SHIP⭐ [50 TỜ] Tiền hình con hổ Trung Quốc 100 tệ lưu niệm , cùng bao lì xì, Quà Tết 2022",324500,324500,324500,TP. Hồ Chí Minh,466470722,0,999,12
5476,0,https://cf.shopee.vn/file/95277dbeba50f90dfede7d6c53166962,15126309104,1,Bộ sản phẩm hộp quà tết nonglamfood .,427900,427900,427900,Đồng Nai,155936520,0,43,3
5477,0,https://cf.shopee.vn/file/4d689f58225b24ec59d90ec4dca2fe1c,15211133592,0,"tờ tiền 100 Đô của Macao hình con Cọp lì xì tết 2022, Quà Tết 2022",9000,9000,9000,TP. Hồ Chí Minh,580377534,0,999,0
5478,0,https://cf.shopee.vn/file/63e7883e481de456857602d9673ba2ab,15119920488,1,[Quà Tết 2022] Mứt Dừa non Thanh Điệp Sợi đũa vị Dâu Thơm Ngon  500g -,65000,65000,65000,TP. Hồ Chí Minh,82799068,0,2000,8
5479,0,https://cf.shopee.vn/file/371e3f0d11d69ae9b070d9564e40dd10,15112303335,0,"⭐ FREE SHIP⭐ Combo 10 Tờ Tiền Con Cọp 100 Trung Quốc 2022, tặng kèm bao lì xì VIP, Quà Tết 2022",70800,70800,70800,TP. Hồ Chí Minh,427477601,0,999,0
5480,0,https://cf.shopee.vn/file/36adf7c6a1fed6a448771802dc256b29,15211134330,0,"Tờ Đài Loan hình con hổ lưu niệm lì xì tết Nhâm Dần , tặng bao lì xì, Quà Tết 2022",8000,8000,8000,TP. Hồ Chí Minh,580377534,0,999,0
5481,0,https://cf.shopee.vn/file/118be321fb0f86de8f828a773b0a7823,15112079932,0,Hộp Quà Tết,1000000,1000000,1000000,TP. Hồ Chí Minh,322948876,0,30,4
5482,0,https://cf.shopee.vn/file/e3b564d67c7d8587b4c08b637e01083a,15128271318,0,Sỉ Vỏ Hộp Quà Tết - Hộp Mứt Tết Mix 8 Hũ Sang Trọng Kèm Túi Xách - Quà Tặng Người Thân Tết 2022 Nhâm Dần,89000,89000,89000,Hà Nội,313998283,0,569,2
5483,0,https://cf.shopee.vn/file/cfbb049e3ee166e68ac9da05db6b5088,15119812375,0,"[HÀNG MỚI] [QUÀ TẾT] Hồng Treo Gió Siêu Ngon HÀN QUỐC, Hộp 10 Quả",299000,299000,299000,Hà Nội,135069907,0,500,63
5484,0,https://cf.shopee.vn/file/a6f4f7b582701dc3e7fb2de52831c8f8,15124423810,0,┅❀﹊[Quà Tết Nguyên Đán] Đồng hồ nam thời trang chống thấm nước thương hiệu Thụy Sỹ nam sinh cao cấp không máy tự động,331000,331000,331000,Hà Nội,580342608,0,10000,2
5485,0,https://cf.shopee.vn/file/28f8454e6a2fa43ca7405ce76578ad29,15118084365,0,LẴNG QUÀ TẾT 2022-KHAY QUÀ TẾT,260000,420000,260000,Hà Nội,48004471,0,15,15
5486,0,https://cf.shopee.vn/file/b9d13edd45a34549988038f45a8fe325,15114168869,0,HỘP QUÀ TẾT ORION AN+ TÚI,165000,165000,165000,TP. Hồ Chí Minh,58680999,0,2,41
5487,0,https://cf.shopee.vn/file/bdb4bf8bd8406f3e14b6804783135506,15120170880,0," [Tết 2022] 500g Miến dong Phia Đén sợi dai, không hóa chất - Đặc sản Cao Bằng [Quà tết]",89000,89000,89000,TP. Hồ Chí Minh,285081079,0,2000,0
