itemid,liked,name,price_max,price_min,shopid,status,stock
10674203734.0,0.0,"Áo khoác len Cadigan họa tiết houndstooth, áo len khoác ngoài Cảdigan - AC-G04",80000.0,80000.0,4883052.0,1.0,619.0
13813982071.0,0.0, Quần thể thao nam SuzaSport Quần tập thể dục 3 sọc,98000.0,98000.0,41726939.0,1.0,9031.0
13048406546.0,0.0,[Quà tặng khẩu trang cho khách hàng chống dịch]Áo len nam cổ tròn len hạt gạo đáp tay cao cấp,149000.0,149000.0,444111654.0,1.0,3999.0
11464430336.0,0.0,Áo Khoác Jean Unisex Gpoiled 🌟Mẫu Mã Hot Cho Mùa Đông,220000.0,220000.0,272162596.0,1.0,408.0
14302244558.0,0.0,"FREESHIP Bomber,áo khoác Bóng Chày 2 Màu Form Rộng Unisex",165900.0,33180.0,117877381.0,1.0,86065.0
11255745697.0,0.0,"Thắt lưng nam da bò thật 100% khóa cài cao cấp, dây lưng nam da thật - AN16",155000.0,155000.0,552385143.0,1.0,33.0
4558831214.0,0.0,Tất cổ thuyền miệng nông sành điệu cho nam,32451.0,32451.0,316294728.0,1.0,338.0
8324610650.0,0.0,Vớ Lưới Cổ Thuyền Màu Trơn Thời Trang Chất Lượng Cao Cho Nam Nữ,24000.0,24000.0,299120017.0,1.0,2358.0
5911212652.0,0.0,QUẦN NGỦ NAM - Họa Tiết Sang Trọng - Chất Kate Thoải Mái Thoáng Mát,69000.0,49000.0,47653639.0,1.0,3324.0
3358331577.0,0.0,Vớ Tất Nam Chống Hôi Chân Hàng Nhà Máy Xịn Xò VTNC,13500.0,13500.0,404534.0,1.0,345.0
12321527006.0,0.0,Vớ thun BLOOK cao cấp chất len cotton mềm mịn 33398 ( HÌNH THẬT ),30000.0,30000.0,63829101.0,1.0,3326.0
11266400859.0,0.0,"Bộ Quần Áó Thể Thao Thu Đông Nam Cao Cấp Q5,Chất nỉ trơn dày dặn,Trẻ trung Năng động",149000.0,149000.0,33435563.0,1.0,1772.0
5365366110.0,0.0,Combo 2 Đôi Tất Nam Cổ Ngắn Chất Cotton Mềm Mịn Ôm Chân [T4],9900.0,9900.0,133262745.0,1.0,5236.0
5984434471.0,0.0,"Tất dệt kim sneaker loại mỏng, cổ lửng nam nữ thời trang cao cấp",10000.0,10000.0,54554842.0,1.0,29789.0
1131087655.0,0.0,Quần lót nam Trunk Cotton Compact  co giãn thương hiệu Coolmate,99000.0,99000.0,24710134.0,1.0,2753.0
4442130603.0,0.0,Attack On Titan Cosplay Shingeki No Kyojin Cloak Eren Levi Mikasa Scout Legion Japanese Anime Adult Green Black Costume,114429.0,114429.0,130082433.0,1.0,49311.0
10512649369.0,0.0,Áo khoác nỉ Hoodie - Áo Hoodie nam nữ form rộng unisex CAO CẤP phong cách Hàn Quốc Lk8852,225000.0,225000.0,77856531.0,1.0,3000.0
3021559365.0,0.0,Thắt Lưng Nam Chính Hiệu Đẳng Cấp Tặng Hộp Cao Cấp | Dây Nịt Chữ G PVY-28 | TLG chainguyenrq,275000.0,275000.0,403051085.0,1.0,5465.0
9453214548.0,0.0," [Rẻ Vô Địch] Áo cotton tay lỡ Unisex mặc đôi ,nhóm , lớp------ Áo MiCKEY FULl",36500.0,36500.0,417241850.0,1.0,6753.0
2079970511.0,0.0,BỘ ĐỒ NGỦ PIJAMA NAM NỮ CAO CẤP SANG TRỌNG QSHOP QM07,290000.0,290000.0,61218341.0,1.0,260.0
8329709315.0,0.0,Bộ thể thao nam nữ Unisex - Áo thun tay lỡ và quần kaki hình in gấu dễ thương,134000.0,134000.0,161050540.0,1.0,1.0
14500093692.0,0.0,"Áo Khoác, Áo Jacket GC Kẻ Sọc Vai from Rộng Cho Nam Nữ Phong Cách Hàn Quốc",144500.0,30000.0,168032150.0,1.0,149746.0
12041776433.0,0.0,Áo giữ nhiệt lót nỉ nam cổ 3p bảng 10 màu đẹp nhất ngành - toàn màu hot nam tính Zinstore,59000.0,58500.0,415256699.0,1.0,1478.0
15202170872.0,0.0,"FREESHIP Áo sweater, Áo Nỉ Bông cotton Hình Tròn Giữa Áo forrm Rộng unisex Phong Cách ulzzang",175000.0,35000.0,117877381.0,1.0,77582.0
9796638326.0,0.0,Áo Bomber 2 lớp Teddy Bóng Chày Sơn Tùng - Áo Khoác 2 lớp dày dặn Chất Liệu Nỉ dày Mềm Giữ ẤM,165000.0,165000.0,34525738.0,1.0,29885.0
